Title, Alternate Title, Year, MOvie or TV, qedcat page, IMDB number, Math stars, Comments
"""12 Angry Men""",,1957,MO,12.html,0050083,1,"""Probability is used by a jury member to cast doubt on the accused's guilt."""
"""12 to the Moon""",,1960,MO,,0054415,2,"""A mathematician on a spaceflight performs some implausible calculations."""
"""1984""",,1984,MO,1984.html,0087803,2,"""A man gets brainwashed into believing that 2+2=5. Iconic scene."""
"""2010""",,1984,MO,2010.html,0086837,1,"""A monolith left by aliens has proportions 1:4:9."""
"""21""",,2008,MO,,0478087,3,"""Kevin Spacey is a maths professor who organizes some of his students into a team of blackjackplayers. The Monty Hall puzzle has a large scene. Newton's method and Fibonacci numbers make brief appearances, and there are some nice blackboards with Cauchy sequences and continued fractions. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page</a>. <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page</a>."""
"""21 Grams""",,2003,MO,21.html,0315733,2,"""The main character is a mathematician, who engages in 'maths is beautiful' philosophizing."""
"""23""",,1998,MO,,0126765,2,"""The original German movie, with a guy obsessing on appearances of the number 23: so, 11+ 12 = 23, and so on. The number 5 is also important, since 2+3=5.  <a href='http://www.math.harvard.edu/~knill/mathmovies/'>Clip on Oliver Knill's page.</a>"""
"""The 27th Day""",,1957,MO,,0050085,1,"""Some helpful aliens gives doomsday devices to Professor Bechner and others. The Professor deciphers the mathematical symbols&minus; 'In mathematics there is always a solution' &minus;ensuring only  bad guys are doomed (mostly Russians), and peace reigns."""
"""3:19 Nada es Casualidad""",,2008,MO,,0822785,3,"""Live action movie with an extended animation sequence on the final daysof &Eacute;variste Galois."""
"""The  39 Steps""",,1935,MO,,0026029,2,"""A performing mnemonist  memorizes secret mathematical plans."""
"""4D Man""",,1959,MO,,0052530,1,"""'You've compressed the energy of years into a moment.' 'But ... that's like ... the forth dimension!'. Well, maybe not. But the mad scientist being able to pass through solid objects could actually be given a 4D explanation."""
"""The 4th Dimension""",,2006,MO,,0780461,3,"""Excellent, strange movie about Jack, who is trying to fix time. A few equations, and Einstein makes anappearance. A classroom scene with Jack daydreaming in a geometry lesson. The teacher confronts him and asks him what is the shortest distance between two points. Jack declinesto to answer, and then explains that there is no such thing as a straight: a semi-accurate explanationof geodesics and surfaces curving through space. <a href='http://www.qedcat.com/movieclips/index.html'>Clip on our maths clips page.</a>"""
"""A-Ducking They Did Go""",,1939,MO,,0031015,2,"""The three stooges have a funny 1-liner on percentages."""
"""About a Boy""",,2002,MO,about_a_boy.html,0276751,1,"""Includes a classroom scene in which a teacher talks about the significance of the decimal  point."""
"""The Absent-Minded Professor""",,1961,MO,absent_minded.html,0054594,1,"""We see the absent-minded professor (not a mathematician)  in front of blackboards filled with formulas."""
"""Aces""",,2006,MO,,0460703,2,"""maths majors, one with the alias 'Theorem Girl', spend the summer playing poker.  Their probability isn't quite right."""
"""The Accountant""",,2001,MO,,0222675,2,"""Quirky short film about a very weird accountant who comes to save a family farm.He calculates on his fingers and by stamping his feet: 'A man who won't add his own numbers ain't much of a man in my book'."""
"""The Accountant""",,2016,MO,,2140479,3,"""Ben Affleck stars as 'Christian Wolff', an autistic accountant and killer. The mathematics is mostly implicit, though there's a couple good arithmetic scenes, andreferences to Wolff's previous aliases, Lou Carroll and Carl Gauss."""
